ParcelId,OldLand,OldBuilding,OldTotal,NewLand,NewBuilding,NewTotal,Planning,Designation,NBHD
R72 06712 0024,16820,106960,123780,13510,96010,109520,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0034,13140,51820,64960,10970,49830,60800,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0032,19150,40450,59600,15480,45520,61000,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0026,24130,111150,135280,19010,111120,130130,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0048,13540,96530,110070,11380,103840,115220,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0016,13280,70120,83400,11110,63920,75030,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0033,14130,128940,143070,11800,98000,109800,FIVE OAKS,HD-1,Squirrel Forest
R72 06710 0028,!,!,!,43210,341000,384210,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0046,14130,17390,31520,11850,70490,82340,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0011,19220,52880,72100,16240,38450,54690,FIVE OAKS,HD-1,Squirrel Forest
R72 06708 0016,10600,43990,54590,8550,29850,38400,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0049,6780,0,6780,18030,98080,116110,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0059,1460,0,1460,1150,0,1150,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0041,13490,89730,103220,11460,76260,87720,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0052,6470,1820,8290,5520,2400,7920,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0058,15230,50810,66040,13270,118920,132190,FIVE OAKS,HD-1,Squirrel Forest
R72 06710 0010,18530,54130,72660,16280,110270,126550,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0008,13380,89960,103340,10890,79160,90050,FIVE OAKS,HD-1,Squirrel Forest
R72 06706 0005,12000,52070,64070,9530,68570,78100,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0014,14130,60930,75060,11800,48660,60460,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0047,13420,87480,100900,11280,102750,114030,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0020,30710,110730,141440,24720,134960,159680,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0019,11960,63480,75440,9830,34820,44650,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0017,17260,116680,133940,14160,106690,120850,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0015,13750,60790,74540,11340,47600,58940,FIVE OAKS,HD-1,Squirrel Forest
R72 06708 0014,10600,36550,47150,8550,24240,32790,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0013,14380,68150,82530,12400,58700,71100,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0038,4450,0,4450,3170,0,3170,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0039,13370,118200,131570,11290,125280,136570,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0044,14000,26000,40000,11700,27550,39250,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0045,7010,0,7010,5310,0,5310,FIVE OAKS,HD-1,Squirrel Forest
R72 50824 0013,5000,6500,11500,4000,4590,8590,GRAFTON HILLS,HD-1,Grafton Hill
R72 51423 0003,0,0,0,0,0,0,GRAFTON HILLS,HD-1,Grafton Hill
R72 06609 0032,0,0,0,33420,6730,40150,GRAFTON HILLS,HD-1,Grafton Hill
R72 06504 0045,5940,7450,13390,6160,9620,15780,GRAFTON HILLS,HD-1,Grafton Hill
R72 06606 0035,21120,0,21120,7000,0,7000,GRAFTON HILLS,HD-1,Grafton Hill
R72 06609 0008,30250,83260,113510,33380,141690,175070,GRAFTON HILLS,HD-1,Grafton Hill
R72 06504 0022,6000,8260,14260,5600,10670,16270,GRAFTON HILLS,HD-1,Grafton Hill
R72 06507 0010,28500,51420,79920,29100,251580,280680,GRAFTON HILLS,HD-1,Grafton Hill
R72 06504 0023,6000,4820,10820,5600,6230,11830,GRAFTON HILLS,HD-1,Grafton Hill
R72 06606 0014,22880,53650,76530,8370,59940,68310,GRAFTON HILLS,HD-1,Grafton Hill
R72 06504 0058,260,570,830,250,740,990,GRAFTON HILLS,HD-1,Grafton Hill
R72 06504 0021,6000,1940,7940,5600,1560,7160,GRAFTON HILLS,HD-1,Grafton Hill
R72 06501 0010,5400,5380,10780,3500,0,3500,GRAFTON HILLS,HD-1,Grafton Hill
R72 06505 0017,11150,60620,71770,3850,0,3850,GRAFTON HILLS,HD-1,Grafton Hill
R72 06501 0038,30250,57160,87410,33380,131440,164820,GRAFTON HILLS,HD-1,Grafton Hill
R72 06503 0011,27230,53280,80510,29200,117230,146430,GRAFTON HILLS,HD-1,Grafton Hill
