R72 06503 0041,510,0,510
R72 06504 0053,16480,66520,83000
R72 06501 0036,26000,66020,92020
R72 06506 0016,29000,30440,59440
R72 06504 0055,!,!,!
R72 06606 0013,!,!,!
R72 06506 0003,45000,21180,66180
R72 06508 0028,24150,101330,125480
R72 06404 0009,!,!,!
R72 06506 0017,26750,49100,75850
R72 06503 0002,24110,213200,237310
R72 06404 0011,!,!,!
R72 06508 0021,3020,82960,85980
R72 06507 0016,!,!,!
R72 06507 0014,!,!,!
R72 06501 0045,!,!,!
R72 50824 0003,5000,20130,25130
R72 06503 0031,18380,121760,140140
R72 06606 0045,!,!,!
R72 06504 0014,!,!,!
R72 06504 0002,!,!,!
R72 50824 0006,5000,16650,21650
R72 06501 0059,!,!,!
R72 06501 0055,!,!,!
R72 06511 0001,0,73700,73700
R72 06506 0005,29250,68630,97880
R72 06511 0008,!,!,!
R72 06508 0018,27120,93650,120770
R72 06508 0008,22250,76130,98380
R72 06508 0007,0,158570,158570
R72 06508 0010,27500,86340,113840
R72 06508 0033,24850,97180,122030
R72 06508 0012,22920,103000,125920
R72 51423 0005,0,0,0
R72 51423 0001,192000,248240,440240
R72 51423 0002,192000,357460,549460
R72 06506 0013,28600,96650,125250
R72 06506 0028,!,!,!
R72 06503 0026,!,!,!
R72 06606 0011,530,0,530
R72 06606 0021,23510,13890,37400
R72 06606 0034,9000,1420,10420
R72 06606 0017,27500,65000,92500
R72 06606 0016,126000,143310,269310
R72 06606 0044,45000,3070,48070
R72 06606 0018,135000,135570,270570
R72 06409 0005,!,!,!
R72 06409 0001,40130,35530,75660
R72 06504 0001,157050,3071620,3228670
R72 06501 0033,30250,102420,132670
R72 06501 0032,15130,0,15130
R72 06501 0062,9080,0,9080
R72 06501 0031,25710,129710,155420
R72 06609 0007,30250,120360,150610
R72 50824 0007,5000,16650,21650
R72 06508 0001,52860,2380,55240
R72 06501 0018,1680,0,1680
R72 06501 0016,30250,199460,229710
R72 06501 0015,43010,65950,108960
R72 06501 0061,19360,65380,84740
R72 06609 0002,12100,0,12100
R72 06609 0001,30250,60470,90720
R72 06507 0001,22770,105300,128070
R72 06606 0015,23180,25730,48910
R72 06503 0027,4200,146200,150400
R72 50824 0010,5000,19200,24200
R72 06503 0035,10880,101140,112020
R72 06507 0013,24690,128200,152890
R72 06501 0009,5400,0,5400
R72 06501 0012,5400,0,5400
R72 06501 0011,5400,0,5400
R72 06609 0015,30250,74890,105140
R72 06606 0048,92570,63740,156310
R72 06508 0013,23750,90450,114200
R72 50824 0012,5000,19200,24200
R72 50824 0004,5000,16650,21650
R72 50824 0016,5000,16330,21330
R72 50824 0015,5000,15020,20020
R72 06508 0026,28000,112680,140680
R72 06503 0028,24940,159370,184310
R72 06501 0044,29500,56950,86450
R72 50824 0011,5000,16650,21650
R72 06508 0002,29420,158560,187980
R72 06609 0011,30250,47500,77750
R72 06503 0046,12850,88310,101160
R72 06506 0012,29900,109950,139850
R72 06501 0037,30250,112850,143100
R72 06504 0051,30250,161330,191580
R72 06508 0005,34690,141340,176030
R72 06606 0020,26950,15020,41970
R72 06508 0011,19000,90300,109300
R72 06503 0040,1160,0,1160
R72 06503 0033,12150,91410,103560
R72 06609 0012,30250,49160,79410
R72 06501 0048,26550,60440,86990
R72 06503 0038,11500,125080,136580
R72 06501 0039,30250,83740,113990
R72 06501 0030,31760,95620,127380
R72 06504 0035,219380,543670,763050
R72 06506 0004,25220,79130,104350
R72 06507 0007,43200,320840,364040
R72 06507 0020,21360,137190,158550
R72 06507 0003,11050,0,11050
R72 06508 0015,44230,133470,177700
R72 06606 0026,30910,0,30910
R72 06606 0006,25710,0,25710
R72 06606 0025,5030,0,5030
R72 06606 0002,27170,0,27170
R72 06606 0005,25710,0,25710
R72 06606 0004,25710,0,25710
R72 06606 0001,25680,1531210,1556890
R72 06506 0015,29930,29630,59560
R72 06609 0003,30250,61300,91550
R72 06609 0013,30250,94030,124280
R72 06506 0029,!,!,!
R72 06507 0011,27500,177610,205110
R72 50824 0005,5000,20130,25130
R72 06507 0002,16700,73750,90450
R72 06609 0004,30250,71720,101970
R72 01210 0044,14880,28020,42900
R72 02208 0047,4780,43580,48360
R72 02208 0071,!,!,!
R72 02208 0048,!,!,!
